symbol,year,horizon_h,n_signals,win_rate,loss_rate,flat_rate,mean_forward_return_pct,median_forward_return_pct,std_forward_return_pct,p25_forward_return_pct,p50_forward_return_pct,p75_forward_return_pct,pct_positive_return,pct_negative_return,favorable_move_rate,t_stat_mean_return,win_rate_ci95_low,win_rate_ci95_high,truth_label_block,win_rate_band
LIGHTCMDUSD,2025,336,55,0.45454545454545453,0.5454545454545454,0.0,-0.27414372472093396,-0.26559085560598855,4.262904398025008,-3.3567299534280064,-0.26559085560598855,2.366330227832402,0.45454545454545453,0.5454545454545454,0.45454545454545453,-0.4769293623999853,0.330250717464462,0.584775386516395,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
USDJPY,2022,24,31,0.3870967741935484,0.6129032258064516,0.0,-0.17466680521009362,-0.16254276992002592,0.7794286651067165,-0.445351956030815,-0.16254276992002592,0.24700604422213687,0.3870967741935484,0.6129032258064516,0.3870967741935484,-1.247713430304723,0.23732875351271562,0.5617619885886803,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
USDJPY,2022,168,31,0.6129032258064516,0.3870967741935484,0.0,0.001230846242587404,0.22078509092173854,1.34054001200245,-0.8055551812670152,0.22078509092173854,0.782886947965052,0.6129032258064516,0.3870967741935484,0.6129032258064516,0.0051121650858929075,0.4382380114113197,0.7626712464872843,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
USDJPY,2022,336,31,0.5161290322580645,0.4838709677419355,0.0,-0.20472287649904966,0.013957586384379144,2.163684323226034,-1.8161343996355286,0.013957586384379144,1.3736061101938963,0.5161290322580645,0.4838709677419355,0.5161290322580645,-0.5268091670267113,0.34840118286973176,0.6803001396872117,UNVERIFIED_PYTHON_APPROXIMATION,borderline
USDJPY,2023,24,42,0.3333333333333333,0.6428571428571429,0.023809523809523808,-0.1869078128197902,-0.07844745424766514,0.5730286457658573,-0.4625131143174953,-0.07844745424766514,0.1168990635547977,0.3333333333333333,0.6428571428571429,0.3333333333333333,-2.113857794618102,0.21012280761972318,0.4844777298833309,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
USDJPY,2023,168,42,0.6428571428571429,0.35714285714285715,0.0,0.366335475333538,0.6558621919971994,1.2564538089509054,-0.6165044904745195,0.6558621919971994,1.3508651205473547,0.6428571428571429,0.35714285714285715,0.6428571428571429,1.889544372703171,0.4916608928707938,0.7701100749837315,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
USDJPY,2023,336,42,0.7619047619047619,0.23809523809523808,0.0,0.804295564122713,1.2057959278518415,1.7147201066996665,0.0992858835405384,1.2057959278518415,1.6197994909349247,0.7619047619047619,0.23809523809523808,0.7619047619047619,3.039814472107274,0.6147216491768113,0.8651917918898182,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
USDJPY,2024,24,30,0.5666666666666667,0.43333333333333335,0.0,0.03263062711292183,0.07494561945050487,0.6486398709146574,-0.3218890545731071,0.07494561945050487,0.41355755669978084,0.5666666666666667,0.43333333333333335,0.5666666666666667,0.27553857443398627,0.3919700954540873,0.7262276256938489,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
USDJPY,2024,168,30,0.6333333333333333,0.36666666666666664,0.0,-0.03315802209240701,0.2790757375413834,1.3201605810906785,-0.9583599357796415,0.2790757375413834,0.9203737075710894,0.6333333333333333,0.36666666666666664,0.6333333333333333,-0.1375696026862243,0.45513246433604937,0.7812629779598231,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
USDJPY,2024,336,30,0.6666666666666666,0.3333333333333333,0.0,0.23567198879467927,0.9475230490683052,2.38182433865465,-1.0210095888983888,0.9475230490683052,1.9208661815966885,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5419495566489247,0.48779725813830266,0.807697044731538,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
